,word,idf
0,cowhide,14.515397926672573
1,porcupine,10.784031085502159
2,untruthfully,15.964705328036162
3,rebooting,14.14158309012024
4,purcell,10.627598092215077
5,remodelings,16.343216951289893
6,hyphenates,17.20571342753996
7,morley,10.113436784556566
8,tamaricaceae,19.0801825454561
9,silex,15.272827623398495
10,pedaliaceae,17.0801825454561
11,prickleback,19.0801825454561
12,allotropy,19.0801825454561
13,inoculate,14.361364298000153
14,albigenses,16.141583090120243
15,repulsiveness,16.964705328036164
16,agave,12.71094873579038
17,splashdown,13.577682204926916
18,footwear,10.371673397339121
19,cladode,15.807164051049684
20,banner,7.3893115361637856
21,centavo,14.272827623398495
22,beneficiary,9.597710685420733
23,linz,11.083944464252298
24,ironside,11.623485894540039
25,untrue,10.597710685420735
26,bilharziasis,18.0801825454561
27,normandie,12.770327282869312
28,courtyard,8.437529102763031
29,pylon,10.608507331064054
30,pounding,10.932129724491293
31,undersize,16.85779012411965
32,reformative,15.807164051049684
33,diastrophism,18.665145046177255
34,granulation,13.74628180890266
35,fuckhead,20.665145046177255
36,blowlamp,18.0801825454561
37,dummied,17.495220044734943
38,pharmacogenetics,16.20571342753996
39,wilfully,13.475320487297237
40,deputizing,16.20571342753996
41,biltong,16.495220044734943
42,pitting,10.987425404536246
43,slue,18.665145046177255
44,peoria,10.62348589454004
45,singaporean,10.211874412166633
46,acular,20.665145046177255
47,abhorring,16.85779012411965
48,loomes,19.0801825454561
49,salamander,10.331989695866639
50,hemiparasitic,16.343216951289893
51,ensconces,19.665145046177255
52,plowman,12.97165808867793
53,amelioration,13.205713427539957
54,butea,15.620750926818802
55,probings,17.0801825454561
56,incredulous,13.050435202062046
57,menagerie,11.588329449126425
58,westernization,12.916952196587795
59,yagi,13.758254450568737
60,podes,18.343216951289893
61,necessitating,10.497726900345517
62,serialized,9.925364436403994
63,spue,20.665145046177255
64,knighted,8.73810787745696
65,maria,6.312963649259363
66,hawker,9.913600987088156
67,endearment,12.832255032012513
68,deadening,14.379742827315008
69,wrymouth,14.379742827315008
70,zambian,12.10672433290859
71,editorial,7.143299271015323
72,bendability,18.665145046177255
73,inorganically,17.85779012411965
74,sustainable,7.945542318341625
75,pentode,14.992719704205758
